reclat,reclon
42.92755, -78.88358,
42.92751, -78.88361,
42.92764, -78.88352,
42.92760, -78.88358,
42.92753, -78.88372,
42.92752, -78.88372,
42.92750, -78.88372,
42.92749, -78.88373,
42.92748, -78.88375,
42.92750, -78.88375,
42.92751, -78.88378,
42.92749, -78.88375,
42.92749, -78.88372,
42.92748, -78.88371,
42.92745, -78.88372,
42.92748, -78.88372,
42.92746, -78.88371,
42.92745, -78.88369,
42.92744, -78.88371,
42.92743, -78.88374,
42.92743, -78.88371,
42.92745, -78.88371,
42.92747, -78.88371,
42.92749, -78.88374,
42.92747, -78.88373,
42.92745, -78.88372,
42.92747, -78.88373,
42.92747, -78.88375,
42.92747, -78.88378,
42.92744, -78.88379,
42.92743, -78.88377,
42.92744, -78.88375,
42.92746, -78.88377,
42.92747, -78.88376,
42.92747, -78.88378,
42.92749, -78.88376,
42.92751, -78.88377,
42.92749, -78.88374,
42.92748, -78.88373,
42.92750, -78.88372,
42.92748, -78.88370,
42.92750, -78.88372,
42.92752, -78.88371,
42.92750, -78.88371,
42.92749, -78.88373,
42.92749, -78.88373,
42.92751, -78.88373,
42.92753, -78.88375,
42.92756, -78.88376,
42.92755, -78.88374,
42.92753, -78.88373,
42.92751, -78.88372,
42.92748, -78.88372,
42.92745, -78.88372,
42.92743, -78.88371,
42.92745, -78.88372,
42.92746, -78.88376,
42.92750, -78.88379,
42.92752, -78.88380,
42.92754, -78.88378,
42.92751, -78.88377,
42.92749, -78.88377,
42.92747, -78.88376,
42.92749, -78.88375,
42.92747, -78.88376,
42.92745, -78.88377,
42.92746, -78.88380,
42.92745, -78.88378,
42.92743, -78.88377,
42.92743, -78.88374,
42.92745, -78.88376,
42.92747, -78.88375,
42.92749, -78.88376,
42.92750, -78.88376,
42.92749, -78.88375,
42.92747, -78.88376,
42.92746, -78.88377,
42.92743, -78.88378,
42.92742, -78.88379,
42.92744, -78.88381,
42.92746, -78.88380,
42.92744, -78.88381,
42.92745, -78.88378,
42.92747, -78.88376,
42.92749, -78.88376,
42.92751, -78.88374,
42.92753, -78.88374,
42.92752, -78.88376,
42.92750, -78.88376,
42.92747, -78.88376,
42.92745, -78.88376,
42.92747, -78.88376,
42.92748, -78.88376,
42.92749, -78.88376,
42.92750, -78.88373,
42.92749, -78.88369,
42.92749, -78.88368,
42.92751, -78.88369,
42.92752, -78.88372,
42.92750, -78.88374,
42.92752, -78.88379,
42.92753, -78.88376,
42.92752, -78.88373,
42.92754, -78.88375,
42.92753, -78.88373,
42.92751, -78.88375,
42.92749, -78.88377,
42.92747, -78.88377,
42.92745, -78.88377,
42.92742, -78.88376,
42.92740, -78.88374,
42.92737, -78.88373,
42.92738, -78.88376,
42.92740, -78.88375,
42.92742, -78.88375,
42.92747, -78.88376,
42.92749, -78.88376,
42.92749, -78.88373,
42.92750, -78.88375,
42.92750, -78.88372,
42.92749, -78.88372,
42.92746, -78.88372,
42.92744, -78.88371,
42.92746, -78.88372,
42.92748, -78.88372,
42.92750, -78.88373,
42.92752, -78.88373,
42.92754, -78.88372,
42.92756, -78.88374,
42.92753, -78.88377,
42.92751, -78.88379,
42.92752, -78.88383,
42.92752, -78.88387,
42.92751, -78.88390,
42.92749, -78.88385,
42.92747, -78.88384,
42.92745, -78.88382,
42.92744, -78.88379,
42.92745, -78.88375,
42.92747, -78.88374,
42.92748, -78.88378,
42.92749, -78.88376,
42.92752, -78.88376,
42.92753, -78.88378,
42.92751, -78.88378,
42.92750, -78.88375,
42.92748, -78.88374,
42.92748, -78.88373,
42.92749, -78.88376,
42.92750, -78.88374,
42.92750, -78.88371,
42.92748, -78.88370,
42.92747, -78.88368,
42.92747, -78.88366,
42.92750, -78.88365,
42.92750, -78.88362,
42.92749, -78.88359,
42.92750, -78.88355,
42.92749, -78.88352,
42.92750, -78.88349,
42.92753, -78.88348,
42.92756, -78.88349,
42.92757, -78.88352,
42.92755, -78.88354,
42.92753, -78.88355,
42.92753, -78.88352,
42.92750, -78.88352,
42.92748, -78.88352,
42.92746, -78.88355,
42.92746, -78.88358,
42.92747, -78.88362,
42.92747, -78.88365,
42.92749, -78.88366,
42.92752, -78.88367,
42.92756, -78.88367,
42.92757, -78.88368,
42.92759, -78.88368,
42.92762, -78.88368,
42.92762, -78.88369,
42.92760, -78.88370,
42.92757, -78.88371,
42.92755, -78.88371,
42.92753, -78.88372,
42.92751, -78.88372,
42.92750, -78.88374,
42.92750, -78.88377,
42.92749, -78.88379,
